PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
A.J. Green,MIL,25,73,22.7,7.4,2.4,1.5,0.5,0.1,0.5,0.429,0.427,0.815,3.1,76,190,Undrafted,Undrafted,Undrafted,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,-1.7,-0.4,-2.2,SG
A.J. Lawson,TOR,24,26,18.7,9.1,3.3,1.2,0.5,0.2,0.6,0.421,0.327,0.683,-0.7,78,179,Undrafted,Undrafted,Undrafted,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20,-1.5,-1,-2.5,SG
Aaron Gordon,DEN,29,51,28.4,14.7,4.8,3.2,0.5,0.3,1.4,0.531,0.436,0.81,5.9,80,235,2014,1,4,0.65,0.346,0.36,6.4,12.1,9.4,15,0.8,0.9,11.3,19,2.7,-1.5,1.2,PF
Aaron Holiday,HOU,28,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829,1.4,72,185,2018,1,23,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,-0.4,0.1,-0.2,PG
Aaron Nesmith,IND,25,45,24.9,12,4,1.2,0.8,0.4,0.8,0.507,0.431,0.913,4.4,78,215,2020,1,14,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,0,-0.5,-0.5,SF
Aaron Wiggins,OKC,26,76,22.9,12,3.9,1.8,0.8,0.2,0.9,0.488,0.383,0.831,6.8,77,190,2021,2,55,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,1.3,-0.2,1.1,SG
Adam Flagler,OKC,25,37,5.5,1.8,0.7,0.3,0.2,0.1,0.1,0.26,0.194,0.5,0.2,75,180,Undrafted,Undrafted,Undrafted,0.335,0.75,0.021,3.8,10.3,7.1,7.3,1.9,1.5,4,21.1,-8.1,-2.3,-10.3,SG
Adem Bona,PHI,22,58,15.6,5.8,4.2,0.5,0.4,1.2,1.1,0.703,0,0.67,-1.9,82,235,2024,2,41,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,-2.9,0.2,-2.7,C
AJ Johnson,WAS,20,29,22,7.6,2,2.6,0.4,0.1,1.2,0.385,0.267,0.865,-5.2,77,160,2024,1,23,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-5.6,-2.5,-8.1,C
Ajay Mitchell,OKC,23,36,16.6,6.5,1.9,1.8,0.7,0.1,0.8,0.495,0.383,0.829,3.5,77,190,2024,2,38,0.587,0.326,0.19,3.3,8.8,6.1,13.8,2,0.7,12.7,16.2,-2.5,0.9,-1.6,SG
Al Horford,BOS,39,60,27.6,9,6.2,2.1,0.6,0.9,0.8,0.423,0.363,0.895,6.6,81,240,2007,1,3,0.563,0.681,0.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,0.1,1.1,1.2,SG
