PLAYER_NAME,TEAM_ABBREVIATION,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
A.J. Green,MIL,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,-1.7,-0.4,-2.2,SG
A.J. Lawson,TOR,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20,-1.5,-1,-2.5,SG
Aaron Gordon,DEN,0.65,0.346,0.36,6.4,12.1,9.4,15,0.8,0.9,11.3,19,2.7,-1.5,1.2,PF
Aaron Holiday,HOU,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,-0.4,0.1,-0.2,PG
Aaron Nesmith,IND,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,0,-0.5,-0.5,SF
Aaron Wiggins,OKC,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,1.3,-0.2,1.1,SG
Adam Flagler,OKC,0.335,0.75,0.021,3.8,10.3,7.1,7.3,1.9,1.5,4,21.1,-8.1,-2.3,-10.3,SG
Adem Bona,PHI,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,-2.9,0.2,-2.7,C
AJ Johnson,WAS,0.48,0.423,0.174,1.3,8.3,4.8,17.1,0.9,0.4,13.2,17.4,-5.6,-2.5,-8.1,C
Ajay Mitchell,OKC,0.587,0.326,0.19,3.3,8.8,6.1,13.8,2,0.7,12.7,16.2,-2.5,0.9,-1.6,SG
Al Horford,BOS,0.563,0.681,0.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,0.1,1.1,1.2,SG
Alec Burks,MIA,0.608,0.764,0.181,1.9,13.8,7.9,9.1,1.6,0.8,9,16.5,0,0.3,0.3,C
Alex Caruso,OKC,0.568,0.541,0.162,4,12.2,8.2,16.6,4,2.9,9.9,15.2,0.1,3.9,4,SG
Alex Ducas,OKC,0.583,0.7,0.067,7.9,14.3,11.2,4.8,1.9,0,11.5,11.8,-2.1,0.1,-2,SG
Alex Len,LAL,0.525,0.143,0.27,11.3,16.7,14,12.6,1.2,5.4,22.1,10.3,-3.9,1.2,-2.6,SG
Alex Sarr,WAS,0.482,0.412,0.199,7.1,17.9,12.5,13.9,1.2,5,11.2,23.5,-2.2,-1,-3.3,C
Alperen  Sengun,HOU,0.545,0.079,0.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,2.6,1.8,4.4,PF
Amen Thompson,HOU,0.602,0.131,0.354,9,18.2,13.5,16.9,2.1,3.6,14.6,17.5,1.4,2.6,4.1,C
Amir Coffey,LAC,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,-1.5,-0.2,-1.7,SG
Andre Drummond,PHI,0.535,0.085,0.385,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1,-2.4,-0.8,-3.2,C
Andre Jackson Jr.,MIL,0.554,0.386,0.122,7.5,12.5,10.1,10.9,1.7,1.3,21.8,11.9,-3.6,0.2,-3.4,SF
