Team,Wins,Starting_Center,IS_A_BIG,Adjusted_Plus_Minus,Offensive_Net_Rating,Defensive_Net_Rating,Team_Offensive_Net_Rating,Team_Defensive_Net_Rating,OBPM,DBPM,BPM
OKC,68,Chet_Holmgren,TRUE,4.136752,116,105.8,120.33,107.61,0.5,1.9,2.4
BOS,61,Kristaps_Porzingis,TRUE,0.649436,124.5,108.5,120.83,111.32,3.5,1.2,4.7
CLE,64,Jarret_Allen,TRUE,2.78725,141.6,108.7,121.88,112.34,3,1.2,4.2
MIN,49,Rudy_Gobert,TRUE,2.438251,138.1,109,116.72,111.53,0.6,1.3,1.9
LAC,50,Ivica_Zubac,TRUE,4.499934,129.1,108.2,115.2,110.43,2.3,0.8,3.1
MEM,48,Zach_Edey,TRUE,0.716015,124.4,111.1,117.83,113.11,-0.2,0.1,-0.1
HOU,52,Alperen_Sengun,TRUE,3.557975,116.5,107.6,115.23,110.89,2.6,1.8,4.4
NYK,51,Karl_Anthony_Towns,TRUE,3.955461,122.1,110.4,"118.42	",114.34,3.5,0.1,3.6
DEN,50,Nikola_Jokic,TRUE,7.047672,133.7,111.2,119.97,116.2,9.9,3.3,13.3
GSW,48,Draymond,FALSE,2.680335,107,108.5,115.09,111.81,-2.3,2.8,0.5
MIL,48,Brook_Lopez,TRUE,0.964881,121.8,113.9,115.99,113.52,0.4,0.4,0.8
IND,50,Myles_Turner,TRUE,2.218273,112.9,111.7,116.67,114.36,0,0.4,0.4
DET,44,Jalen_Duren,TRUE,-0.090019,133.9,109.5,115.05,113.12,1.6,1.5,3.1
LAL,50,Anthony_Davis,TRUE,0.93812,118,108.6,115.92,114.7,4.5,1.5,6
LAL,50,Jaxson_Hayes,TRUE,1.142644,135.1,112.1,115.92,114.7,-1.6,1.3,-0.3
MIA,37,Bam_Adebayo,TRUE,0.406462,115,110.7,113.61,"113.07	",1,1,2
SAC,40,Domantas_Sabonis,TRUE,1.986739,128.1,113.4,116.86,116.35,4.2,1.1,5.2
ORL,41,Wendell_Carter_JR,TRUE,0.217391,115,109.9,109.46,109.54,-2.2,0.9,-1.2
ATL,40,Onyeka_Okongwu,TRUE,1.17028,129.3,114.2,114.7,115.74,1.2,0.2,1.3
ATL,40,Clint_Capela,TRUE,-0.72972,120,112.3,114.7,115.74,-0.6,-0.4,-1
DAL,39,Daniel Gafford,TRUE,1.03812,137.8,111.7,114.9,116.05,2.7,1.1,3.8
CHI,39,Nikola_Vucevic,TRUE,-0.430726,121.8,113.8,114.28,115.77,2.5,0.1,2.6
SAS,34,Victor_Wembanyama,TRUE,3.342892,110,105.7,114.53,117.23,3.6,2.9,6.5
POR,36,Donovan_Clingan,TRUE,1.180203,120.4,109.3,111.95,114.75,-1.7,1.4,-0.3
PHX,36,Jusuf Nurkic,TRUE,0.378563,104.2,112.8,116.26,119.3,-3.9,0.5,-3.4
PHX,36,Nick Richards,TRUE,-2.87834,120.2,117.2,116.26,119.3,-1.9,-2.1,-3.9
TOR,30,Jakob_Poeltl,TRUE,1.413492,122.6,111,110.52,114.93,0.7,1.3,2
PHI,24,Andre Drummond,TRUE,-3.278092,107.1,110,111.91,118.33,-2.4,-0.8,-3.2
BKN,26,Nic_Claxton,TRUE,-4.037641,114.9,111.3,108.62,115.83,-1.1,1.5,0.4
UTA,17,Walker_Kessler,TRUE,-2.015783,129.9,114.1,111.24,120.61,1.1,0.7,1.8
CHA,19,Mark_Williams,TRUE,-2.821437,126.8,112.8,"	107.37",116.65,2.5,0.9,3.5
NOP,21,Yves_Missi,TRUE,-3.216286,120.4,118.7,110.39,120.01,-1.6,-1.4,-3
WAS,18,Alex_Sar,TRUE,-2.973073,98.3,117.8,106.79,119.12,-2.2,-1,-3.3
