Player,Team,Pos,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Precious Achiuwa,NYK,C,0.53,0.11,0.211,10,21,15.5,6.2,2,3.3,11.2,14.9,-2.1,0.2,-1.9,0
Steven Adams,HOU,C,0.541,0.012,0.557,21.8,22,21.9,10.9,1.3,3.2,20.6,13.6,0,0.3,0.3,0.5
Bam Adebayo,MIA,C,0.561,0.199,0.295,7.7,23.1,15.5,20,1.8,1.9,11.4,23.5,1,1,2,2.7
Ochai Agbaji,TOR,SG,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,-0.9,0.2,-0.7,0.5
Santi Aldama,MEM,PF,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.5,0.7,3.2,2.2
Trey Alexander,DEN,SG,0.374,0.415,0.098,1,9.8,5.6,11.4,0.8,0.8,10.5,17.3,-7.9,-1.8,-9.7,-0.2
Nickeil Alexander-Walker,MIN,SG,0.579,0.601,0.192,2.9,11.1,7.1,15,1.2,1.5,12.9,16,-0.8,0.4,-0.4,0.8
Grayson Allen,PHO,SG,0.631,0.716,0.233,2.5,11.3,7,12.5,1.7,1.2,12.2,17.6,0.7,-1,-0.3,0.7
Jarrett Allen,CLE,C,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,3,1.2,4.2,3.6
Jose Alvarado,NOP,PG,0.523,0.593,0.142,2.1,8.9,5.4,27.3,2.6,1,13.4,19.8,-0.6,-0.8,-1.4,0.2
Kyle Anderson,2TM,PF,0.538,0.231,0.215,5.7,16.8,11.2,20.7,2,3.1,10,15.9,-0.6,2.2,1.5,0.9
Giannis Antetokounmpo,MIL,PF,0.625,0.048,0.536,7.3,29.7,19,36,1.2,3.2,11.2,35.2,6.9,2.5,9.5,6.6
Cole Anthony,ORL,PG,0.531,0.401,0.208,4.1,15.5,9.5,25.5,1.8,2.5,14.8,24.6,-0.8,0.9,0.1,0.7
