Team,Wins,Starting_Center,IS_A_BIG,Adjusted_Plus_Minus,
Team,W,,,,
,,,,,
OKC,68,Chet_Holmgren,TRUE,4.136752,
BOS,61,Kristaps_Porzingis,TRUE,0.649436,
CLE,64,Jarret_Allen,TRUE,2.78725,
MIN,49,Rudy_Gobert,TRUE,2.438251,
LAC,50,Ivica_Zubac,TRUE,4.499934,
MEM,48,Zach_Edey,TRUE,0.716015,
HOU,52,Alperen_Sengun,TRUE,3.557975,
NYK,51,Karl_Anthony_Towns,TRUE,3.955461,
DEN,50,Nikola_Jokic,TRUE,7.047672,
GSW,48,Draymond,FALSE,2.680335,
MIL,48,Brook_Lopez,TRUE,0.964881,
IND,50,Myles_Turner,TRUE,2.218273,
DET,44,Jalen_Duren,TRUE,,ss
LAL,50,Jaxon_Hayes,TRUE,,
LAL,50,Anthony_Davis,TRUE,,
MIA,37,Bam_Adebayo,TRUE,,
SAC,40,Domantas_Sabonis,TRUE,,
ORL,41,Wendell_Carter_JR,TRUE,,
ATL,40,Clint_Capela,TRUE,,
ATL,40,Onyeka_Okongwu,TRUE,,
DAL,39,Daniel Gafford,TRUE,,
CHI,39,Nikola_Vucevic,TRUE,,
SAS,34,Victor_Wembanyama,TRUE,,
POR,36,Donovan_Clingan,TRUE,,
PHX,36,Mark_Williams,TRUE,,
TOR,30,Jakob_Poeltl,TRUE,,
PHI,24,Joel_Embid,TRUE,,
BKN,26,Nic_Claxton,TRUE,,
UTA,17,Walker_Kessler,TRUE,,
UTA,17,Jusuf_Nurkic,TRUE,,
CHA,19,Mark_Williams,TRUE,,
CHA,19,Nick_Richards,TRUE,,
NOP,21,Yves_Missi,TRUE,,
WAS,18,Alex_Sar,TRUE,,
,,,,,
